"lat","long","year","pop1","citystate","rape_per100k"
42.04,-88.29,2000,74013,"Elgin IL",0
42.04,-88.29,2002,75094,"Elgin IL",0
42.04,-88.29,1991,62291,"Elgin IL",0
42.04,-88.29,1994,65744,"Elgin IL",0
42.04,-88.29,1993,65437,"Elgin IL",0
42.04,-88.29,1998,71684,"Elgin IL",0
42.04,-88.29,2001,74388,"Elgin IL",0
42.04,-88.29,2004,76870,"Elgin IL",0
42.04,-88.29,1995,68811,"Elgin IL",0
42.04,-88.29,1990,61685,"Elgin IL",0
42.04,-88.29,2003,76215,"Elgin IL",0
42.04,-88.29,2009,85890,"Elgin IL",0
42.04,-88.29,1986,56487,"Elgin IL",0
42.04,-88.29,1992,62765,"Elgin IL",0
42.04,-88.29,2008,84043,"Elgin IL",0
42.04,-88.29,1988,62990,"Elgin IL",0
42.04,-88.29,1987,60587,"Elgin IL",0
41.38,-82.11,1969,62000,"Elyria OH",0
41.38,-82.11,1995,57370,"Elyria OH",0
41.38,-82.11,1997,57549,"Elyria OH",0
41.38,-82.11,1994,57688,"Elyria OH",0
41.38,-82.11,2002,56289,"Elyria OH",0
41.38,-82.11,1993,57631,"Elyria OH",0
41.38,-82.11,2001,56054,"Elyria OH",0
41.38,-82.11,2003,56355,"Elyria OH",0
41.38,-82.11,1999,56515,"Elyria OH",0
41.38,-82.11,1996,57483,"Elyria OH",0
41.38,-82.11,1998,57076,"Elyria OH",0
41.38,-82.11,2000,55953,"Elyria OH",0
41.38,-82.11,2004,56210,"Elyria OH",0
42.13,-80.09,1962,137761,"Erie PA",0
41.59,-81.52,1960,62998,"Euclid OH",0
41.59,-81.52,1963,67504,"Euclid OH",0
41.59,-81.52,1966,70601,"Euclid OH",0
41.59,-81.52,1965,71000,"Euclid OH",0
41.59,-81.52,1971,72200,"Euclid OH",0
41.59,-81.52,1967,73275,"Euclid OH",0
41.59,-81.52,1995,53485,"Euclid OH",0
41.59,-81.52,1964,65555,"Euclid OH",0
41.59,-81.52,1962,67555,"Euclid OH",0
41.59,-81.52,1961,62998,"Euclid OH",0
41.59,-81.52,1993,54609,"Euclid OH",0
32.85,-97.08,2007,52899,"Euless TX",0
42.05,-87.69,1997,74332,"Evanston IL",0
42.05,-87.69,2000,74239,"Evanston IL",0
42.05,-87.69,1961,79283,"Evanston IL",0
42.05,-87.69,1988,71203,"Evanston IL",0
42.05,-87.69,1998,72362,"Evanston IL",0
42.05,-87.69,1990,73233,"Evanston IL",0
42.05,-87.69,1999,72424,"Evanston IL",0
42.05,-87.69,1994,75075,"Evanston IL",0
42.05,-87.69,1986,72330,"Evanston IL",0
42.05,-87.69,1991,73952,"Evanston IL",0
